X,Y,Y_tile,X_tile,country
105.37924328344353,13.377523067307772,56,56,Cambodia
105.43461989292616,13.377523067307772,56,57,Cambodia
105.48999650240881,13.377523067307772,56,58,Cambodia
105.54537311189145,13.377523067307772,56,59,Cambodia
105.6007497213741,13.377523067307772,56,60,Cambodia
105.65612633085675,13.377523067307772,56,61,Cambodia
105.71150294033939,13.377523067307772,56,62,Cambodia
105.76687954982204,13.377523067307772,56,63,Cambodia
105.82225615930467,13.377523067307772,56,64,Cambodia
105.87763276878732,13.377523067307772,56,65,Cambodia
105.93300937826996,13.377523067307772,56,66,Cambodia
105.98838598775261,13.377523067307772,56,67,Cambodia
106.04376259723526,13.377523067307772,56,68,Cambodia
106.0991392067179,13.377523067307772,56,69,Cambodia
106.15451581620054,13.377523067307772,56,70,Cambodia
106.20989242568318,13.377523067307772,56,71,Cambodia
106.26526903516583,13.377523067307772,56,72,Cambodia
106.32064564464847,13.377523067307772,56,73,Cambodia
